rok,stan_fips,stan_nazwa,populacja_total,pct_ponizej_18lat,pct_powyzej_65lat,mediana_dochodu_gosp_dom,pct_ubóstwo,pct_zatrudnieni,pct_bezrobocie,pct_dojazd_samochod,pct_dojazd_carpool,pct_dojazd_transport_pub,pct_dojazd_pieszo,pct_praca_z_domu,sredni_czas_dojazdu_min,pct_wyksztalcenie_srednie,pct_wyksztalcenie_wyzsze,pct_bez_ubezpieczenia,liczba_jednostek_mieszkalnych,pct_mieszkania_wynajmowane,liczba_gospodarstw_domowych,pct_gospodarstwa_z_dziecmi,pct_dostep_internet
2013,FIPS:05,Arkansas,2959373,51.5,0.0,40511,14.5,53.4,4.7,83.4,10.1,0.5,1.7,2.8,21.4,20.6,2243634,84.0,1329777,34.3,1125899,,60.9
2013,FIPS:06,California,38332521,50.7,0.0,60190,12.6,56.7,6.3,73.2,10.9,5.3,2.7,5.2,27.9,31.0,29027762,82.8,13791262,46.2,12650592,,77.9
2013,FIPS:08,Colorado,5268367,50.1,0.1,58823,8.7,62.4,4.7,74.7,9.7,3.3,2.9,6.9,24.6,37.8,3992340,85.9,2247291,35.5,2002800,,79.4
2013,FIPS:10,Delaware,925749,52.3,,57846,8.5,58.0,5.5,80.3,9.1,3.5,2.1,3.7,25.4,29.8,719383,90.9,412015,28.3,339071,,74.5
2013,FIPS:09,Connecticut,3596080,51.9,,67098,7.6,60.9,6.2,77.9,8.3,5.1,3.1,4.3,25.5,37.2,2802596,90.6,1488072,33.7,1339860,,77.5
2013,FIPS:12,Florida,19552860,51.7,0.0,46036,12.4,52.9,5.7,79.6,9.4,2.1,1.5,5.1,26.1,27.2,15471123,80.0,9047973,35.2,7211584,,74.3
2013,FIPS:13,Georgia,9992167,51.9,0.0,47829,14.5,55.9,6.4,79.6,10.3,2.1,1.5,4.9,27.0,28.3,7455459,81.2,4110162,37.3,3546965,,72.2
2013,FIPS:16,Idaho,1612136,50.4,0.1,46783,10.4,57.8,4.5,78.8,9.6,0.7,3.1,5.5,20.1,26.2,1182624,83.8,676192,30.6,588489,,73.2
2013,FIPS:15,Hawaii,1404054,49.7,,68020,7.1,57.0,3.7,67.6,13.5,6.1,4.2,4.4,26.8,31.2,1051250,93.3,526305,43.8,450120,,78.6
2013,FIPS:17,Illinois,12882135,51.5,0.0,56210,10.8,59.5,6.3,73.6,8.3,9.1,3.1,4.2,28.0,32.1,9843918,87.3,5289653,34.1,4783421,,74.0
2013,FIPS:18,Indiana,6570902,51.5,0.0,47529,11.9,58.7,5.0,83.0,8.8,1.2,2.0,3.3,23.2,23.8,4980863,86.0,2809640,31.5,2498395,,69.7
2013,FIPS:19,Iowa,3090416,51.1,0.0,52229,8.1,64.4,3.3,80.9,8.6,1.1,3.7,4.2,18.9,26.4,2365095,91.9,1349607,29.2,1236209,,72.2
2013,FIPS:20,Kansas,2893957,50.7,0.0,50972,9.6,62.2,3.9,82.4,9.1,0.5,2.5,4.0,19.1,31.1,2157934,87.7,1239755,33.9,1113729,,73.0
2013,FIPS:21,Kentucky,4395295,51.4,0.0,43399,14.5,54.2,5.0,82.8,9.6,1.1,2.3,3.2,22.6,22.6,3367777,85.7,1936634,32.6,1705623,,68.5
2013,FIPS:22,Louisiana,4625470,51.8,,44164,15.3,55.3,4.8,82.6,9.6,1.3,1.7,2.4,25.2,22.5,3498393,83.4,1990967,34.0,1728149,,64.8
2013,FIPS:23,Maine,1328302,51.6,,46974,9.6,58.5,4.4,77.4,10.6,0.7,3.9,5.7,23.3,28.2,1066267,88.8,723140,29.8,547686,,72.9
2013,FIPS:24,Maryland,5928814,52.2,0.0,72483,7.1,62.9,5.1,74.0,9.0,9.1,2.4,4.2,32.5,37.4,4557277,89.8,2404177,33.5,2161680,,78.9
2013,FIPS:25,Massachusetts,6692824,52.2,,66768,8.6,62.1,5.2,71.8,7.4,9.9,4.8,4.4,28.6,40.3,5295537,96.3,2813641,38.5,2536321,,79.6
2013,FIPS:26,Michigan,9895622,51.5,0.0,48273,12.3,55.2,6.0,82.4,8.8,1.5,2.2,3.8,24.0,26.9,7647944,89.0,4525266,29.4,3832466,,70.7
2013,FIPS:27,Minnesota,5420380,50.8,0.1,60702,7.2,66.1,3.8,78.4,8.6,3.6,2.9,4.9,23.0,33.5,4136411,91.8,2368754,28.4,2119954,,76.5
2014,FIPS:01,Alabama,4849377,52.4,0.0,42830,15.0,52.5,4.9,85.9,8.6,0.4,1.1,2.9,24.3,23.5,3728029,87.9,2208030,32.3,1841217,,65.8
2014,FIPS:02,Alaska,736732,47.1,0.0,71583,7.9,61.9,5.1,69.5,12.0,1.3,8.0,3.9,18.3,28.0,532759,82.8,308571,37.5,249659,,81.4
2014,FIPS:04,Arizona,6731484,50.8,0.0,50068,13.2,54.2,4.7,76.9,10.4,2.0,2.0,5.7,24.5,27.6,5092640,86.4,2909336,38.9,2428743,,75.5
2014,FIPS:05,Arkansas,2966369,51.5,,41262,13.8,54.2,3.9,82.5,10.9,0.3,1.8,3.3,21.7,21.4,2256473,88.2,1341081,34.2,1131288,,63.5
2014,FIPS:06,California,38802500,50.8,0.0,61933,12.2,57.4,5.3,73.5,10.5,5.3,2.7,5.4,28.1,31.7,29521047,87.6,13901594,46.3,12758648,,80.0
2014,FIPS:08,Colorado,5355866,50.1,0.1,61303,8.0,63.7,3.7,75.6,9.6,3.3,2.7,6.5,25.1,38.3,4078550,89.7,2276280,36.1,2039592,,81.2
