stan_fips,stan_nazwa,rok,miesiac,AWND_mean,CLDD_mean,DP01_mean,DP10_mean,DP1X_mean,DSNW_mean,DT00_mean,DT32_mean,DX32_mean,DX70_mean,DX90_mean,DYFG_mean,EMNT_mean,EMXT_mean,HTDD_mean,PRCP_mean,SNOW_mean,SNWD_mean,TAVG_mean,TMAX_mean,TMIN_mean,WSFG_mean,AWND_median,CLDD_median,DP01_median,DP10_median,DP1X_median,DSNW_median,DT00_median,DT32_median,DX32_median,DX70_median,DX90_median,DYFG_median,EMNT_median,EMXT_median,HTDD_median,PRCP_median,SNOW_median,SNWD_median,TAVG_median,TMAX_median,TMIN_median,WSFG_median,n_stacji
FIPS:01,Alabama,2011,1,2.3333333333333335,0.06578947368421054,9.866043613707165,6.666666666666667,0.9844236760124611,0.7666666666666667,0.0,19.53448275862069,1.4434782608695653,1.391304347826087,0.0,9.826086956521738,-9.870175438596492,22.321739130434782,411.8938596491228,107.42372372372373,130.35294117647058,,4.842105263157895,10.79304347826087,-1.1087719298245615,,2.4,0.0,10.0,7.0,1.0,1.0,0.0,20.5,1.0,1.0,0.0,12.0,-9.4,22.2,411.70000000000005,102.3,177.0,,4.7,11.0,-1.3,,358
FIPS:01,Alabama,2011,2,2.957142857142857,3.7690265486725663,7.464831804281346,4.902140672782875,0.7003058103975535,0.8205128205128205,0.0,11.808695652173913,0.24347826086956523,10.052173913043479,0.0,10.666666666666666,-7.384955752212389,25.925217391304347,249.4230088495575,77.99215116279069,33.93181818181818,,9.4070796460177,16.278260869565216,2.5327433628318583,,2.9,2.8,7.0,5.0,1.0,1.0,0.0,12.0,0.0,11.0,0.0,11.0,-7.7,26.1,249.1,74.35,34.0,,9.4,16.4,2.3,,363
FIPS:01,Alabama,2011,3,2.94375,12.775892857142859,10.378980891719745,8.248407643312103,3.1847133757961785,0.0,0.0,1.5789473684210527,0.0,16.0625,0.008928571428571428,15.705882352941176,-0.16964285714285715,28.94017857142857,145.19732142857143,216.8466049382716,0.0,,14.016071428571427,20.660714285714285,7.3741071428571425,,2.8499999999999996,10.2,11.0,9.0,3.0,0.0,0.0,1.0,0.0,16.0,0.0,17.0,-0.35,29.0,143.55,223.10000000000002,0.0,,14.1,20.65,7.3,,348
FIPS:01,Alabama,2011,4,3.0928571428571425,59.52389380530973,6.93312101910828,5.270700636942675,2.1656050955414012,0.0,0.0,0.2956521739130435,0.0,25.876106194690266,0.39823008849557523,11.31578947368421,2.120353982300885,30.923893805309735,52.34159292035399,147.42291021671826,0.0,,18.5929203539823,25.734513274336283,11.446902654867257,,2.8,58.1,7.0,5.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,13.0,1.9,31.1,47.0,142.1,0.0,,18.7,25.8,11.4,,346
FIPS:01,Alabama,2011,5,2.2875,114.75221238938053,4.528662420382165,3.156050955414013,0.3853503184713376,0.0,0.0,0.0,0.0,26.8141592920354,8.168141592920353,12.818181818181818,4.764035087719298,34.35752212389381,32.71150442477876,46.12267080745342,0.0,,21.03362831858407,28.168141592920353,13.894736842105264,,2.1,112.4,4.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,13.0,4.4,34.4,33.7,43.2,0.0,,21.1,28.1,13.8,,342
FIPS:01,Alabama,2011,6,2.0153846153846153,262.56666666666666,8.347266881028938,6.340836012861736,1.1864951768488745,0.0,0.0,0.0,0.0,29.61261261261261,24.693693693693692,14.65,16.803603603603605,37.160360360360364,0.0,104.8534375,0.0,,27.235135135135135,34.17297297297297,20.295495495495498,,1.9,268.4,9.0,6.0,1.0,0.0,0.0,0.0,0.0,30.0,25.0,16.5,16.9,37.2,0.0,100.30000000000001,0.0,,27.4,34.4,20.3,,337
FIPS:01,Alabama,2011,7,1.475,284.4401785714286,11.603960396039604,8.066006600660065,1.66996699669967,0.0,0.0,0.0,0.0,30.743362831858406,22.15929203539823,14.291666666666666,18.665486725663715,36.27522123893806,0.0,140.83860759493672,0.0,,27.608035714285712,33.16283185840708,22.06991150442478,,1.5,283.54999999999995,11.0,8.0,1.0,0.0,0.0,0.0,0.0,31.0,23.0,15.0,18.5,36.1,0.0,128.25,0.0,,27.5,33.2,22.1,,339
FIPS:01,Alabama,2011,8,1.4733333333333334,284.9234234234234,5.975384615384615,3.7415384615384615,0.6246153846153846,0.0,0.0,0.0,0.0,30.756756756756758,26.47747747747748,14.15,16.333333333333332,37.75315315315316,0.0,57.91616766467066,0.0,,27.627027027027026,34.37927927927928,20.883783783783784,,1.4,289.7,6.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,28.0,16.5,16.1,37.8,0.0,46.5,0.0,,27.8,34.7,20.8,,353
FIPS:01,Alabama,2011,9,1.95625,120.9212389380531,8.451219512195122,5.896341463414634,2.3445121951219514,0.0,0.0,0.0,0.0,28.01769911504425,4.831858407079646,11.5,10.397345132743364,35.872566371681415,6.450442477876106,210.24358208955226,0.0,,22.234513274336283,28.26991150442478,16.196460176991152,,1.85,122.9,8.0,6.0,2.0,0.0,0.0,0.0,0.0,28.0,4.0,12.0,10.6,36.1,3.4,183.9,0.0,,22.3,28.4,16.3,,355
FIPS:01,Alabama,2011,10,2.0,17.799107142857142,5.246875,2.5,0.0375,0.0,0.0,2.2719298245614037,0.0,21.803571428571427,0.08928571428571429,5.0,-0.10446428571428575,30.113392857142856,95.88214285714285,22.109846153846153,0.0,,15.799999999999999,23.48392857142857,8.120535714285714,,1.9,13.5,6.0,2.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,3.0,-0.6,30.25,95.35,18.4,0.0,,15.7,23.4,8.0,,347
